Round, Text, Target Position(s), Player(s)...
1,Get the best RB available,RB,
2,Shoot for an RB,RB - WR,
3,If you have 2 RB go for WR,RB - WR,
4, Best Available,RB - WR,
5, Best Available,RB - WR,
6, Best Available - even out lineup,RB - WR,
7, Best Available - even out lineup,RB - WR,
8, Best Available - even out lineup,RB - WR,
9,Keep an eye on QB - Best Available,RB - WR - QB,
10,Target QB if not picked - Best Available,QB - RB - WR,
11,Target QB if not picked - Best Available,QB - RB - WR,
12,Target TE if not picked - Best Available,QB - TE - RB - WR,
13,Target TE if not picked - Best Available,TE - RB - WR,
14,Look for deep sleepers,TE - RB - WR,
15,Get best DST,DST,
16,Get best K,K,
